data_point_number,date,time_unbagged,time_of_visit,plant_species,visitor_group,visitor_extra_information,length_of_visit,conspecific_pollen_deposited_(before_control_values_removed),conspecific_pollen_deposited,Pollen_or_nectar_collected,Legitimate_oR_Robbing_visit,observer
503,15/07/13,17:18,17:33,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,15,15,N,L,2
504,15/07/13,17:18,17:33,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,4,4,P,L,2
505,15/07/13,17:18,17:36,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,5,5,P,L,2
506,15/07/13,17:18,17:44,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,23,23,P,L,2
507,15/07/13,17:18,17:46,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,2,2,P,L,2
508,15/07/13,17:18,18:08,Erica_cinerea,halictid,Lasioglossum,11,26,26,P,L,2
509,15/07/13,17:18,19:28,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,18,18,P,L,2
510,15/07/13,17:18,19:28,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,12,12,P,L,2
511,15/07/13,17:18,19:35,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,79,79,P,L,2
512,15/07/13,17:18,19:41,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,55,55,P,L,2
513,15/07/13,17:18,19:42,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,31,31,P,L,2
514,16/07/13,17:24,18:03,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,8,8,P,L,2
