data_point_number,date,time_unbagged,time_of_visit,plant_species,visitor_group,visitor_extra_information,length_of_visit,conspecific_pollen_deposited_(before_control_values_removed),conspecific_pollen_deposited,Pollen_or_nectar_collected,Legitimate_oR_Robbing_visit,observer
955,08/08/13,11:00,11:54,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,37,29,N,L,5
956,08/08/13,11:00,11:55,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,7,59,51,P,L,5
957,08/08/13,11:00,11:57,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,47,39,P,L,5
958,08/08/13,11:00,11:57,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,111,103,P,L,5
959,09/08/13,15:10,15:15,Calluna_vulgaris,other_solitary_bees,Andrena,4,2,0,P,L,5
960,09/08/13,15:10,15:44,Calluna_vulgaris,muscid,muscid small black,9,36,28,N,L,5
961,09/08/13,15:10,15:57,Calluna_vulgaris,muscid,muscid small black,15,31,23,N,L,5
962,09/08/13,15:10,16:10,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,7,14,6,N,L,5
963,09/08/13,15:10,16:11,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,9,31,23,N,L,5
964,09/08/13,15:10,16:14,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,11,46,38,N,L,5
965,09/08/13,15:10,16:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,8,17,9,N,L,5
966,09/08/13,15:10,16:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,42,34,N,L,5
967,09/08/13,15:10,16:51,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,8,7,0,N,L,5
968,09/08/13,15:10,16:51,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,17,12,4,N,L,5
969,09/08/13,15:10,17:04,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,46,38,N,L,5
970,09/08/13,15:10,17:04,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,47,39,N,L,5
971,09/08/13,15:10,17:08,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,6,0,N,L,5
972,09/08/13,15:10,18:30,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,29,21,N,L,5
973,09/08/13,15:10,18:36,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,31,23,N,L,5
974,09/08/13,15:10,18:39,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,8,6,0,N,L,5
975,09/08/13,15:10,18:45,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,7,28,20,N,L,5
976,09/08/13,15:10,18:57,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,11,3,N,L,5
977,06/05/13,08:40,09:14,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,1,2,0,NA,L,4
978,06/05/13,08:40,09:28,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,1,2,0,NA,L,4
979,06/05/13,08:40,09:29,Calluna_vulgaris,Eupeodes,Eupeodes,1,1,0,NA,L,4
980,06/05/13,08:40,09:34,Calluna_vulgaris,Episyrphus,Episyrphus balteatus,2,1,0,NA,L,4
981,06/05/13,08:40,10:04,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,9,1,NA,L,4
982,06/05/13,08:40,10:29,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,51,43,NA,L,4
983,06/05/13,08:40,10:30,Calluna_vulgaris,other,soldier fly,6,9,1,NA,L,4
984,06/05/13,08:40,10:35,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,15,7,NA,L,4
985,06/05/13,08:40,10:35,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,25,17,NA,L,4
986,06/05/13,08:40,10:45,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,50,42,NA,L,4
987,06/05/13,08:40,10:58,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,5,0,NA,L,4
988,06/05/13,08:40,11:20,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,84,76,NA,L,4
989,06/05/13,08:40,11:25,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,15,7,NA,L,4
990,06/05/13,08:40,11:34,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,1,8,0,NA,L,4
991,06/05/13,08:40,11:50,Calluna_vulgaris,small_syrphid,Meliscaeva,4,3,0,NA,L,4
992,06/05/13,08:40,11:53,Calluna_vulgaris,muscid,muscid,6,6,0,NA,L,4
993,06/05/13,08:40,11:56,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,8,4,0,NA,L,4
994,06/05/13,08:40,12:24,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,22,14,NA,L,4
995,06/05/13,08:40,12:25,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,4,0,NA,L,4
996,06/05/13,08:40,12:25,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,8,3,0,NA,L,4
997,06/05/13,08:40,12:45,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,12,4,NA,L,4
998,06/05/13,08:40,12:48,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,9,5,0,NA,L,4
999,06/05/13,08:40,12:48,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,21,13,NA,L,4
1000,06/05/13,08:40,12:53,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,32,24,NA,L,4
1001,06/05/13,08:40,12:53,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,35,27,NA,L,4
1002,06/05/13,08:40,13:53,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,58,50,NA,L,4
1003,06/05/13,08:40,14:05,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,1,0,NA,L,4
1004,07/08/13,08:56,10:05,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,11,3,NA,L,4
1005,07/08/13,08:56,10:40,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,50,42,NA,L,4
1006,07/08/13,08:56,11:25,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,154,146,NA,L,4
1007,07/08/13,08:56,11:55,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,103,95,NA,L,4
1008,07/08/13,08:56,11:56,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,37,29,NA,L,4
1009,07/08/13,08:56,11:56,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,28,20,NA,L,4
1010,07/08/13,08:56,12:05,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,12,4,NA,L,4
1011,07/08/13,08:56,12:10,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,23,15,NA,L,4
1012,07/08/13,08:56,12:10,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,NA,102,94,NA,L,4
1013,07/08/13,08:56,12:12,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,0,0,NA,L,4
1014,07/08/13,08:56,12:50,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,37,29,NA,L,4
1015,07/08/13,08:56,13:23,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,1,39,31,NA,L,4
1016,08/08/13,08:45,10:03,Calluna_vulgaris,Episyrphus,Episyrphus balteatus,11,45,37,N,L,4
1017,08/08/13,11:20,11:45,Calluna_vulgaris,muscid,muscid,2,46,38,N,L,4
1018,08/08/13,11:20,11:50,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,75,67,N,L,4
1019,08/08/13,11:20,11:50,Calluna_vulgaris,muscid,muscid,8,93,85,N,L,4
1020,08/08/13,11:20,11:58,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,21,13,P,L,4
1021,08/08/13,11:20,12:04,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,1,28,20,N,L,4
1022,08/08/13,11:20,12:08,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,1,17,9,N,L,4
1023,08/08/13,11:20,12:14,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,1,10,2,N,L,4
1024,08/08/13,11:20,12:25,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,1,15,7,N,L,4
1025,08/08/13,11:20,12:34,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,1,12,4,N,L,4
1026,08/08/13,11:20,12:40,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,1,22,14,N,L,4
1027,08/08/13,11:20,12:40,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,41,33,N,L,4
1028,08/08/13,11:20,12:44,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,14,6,N,L,4
1029,08/08/13,11:20,12:58,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,34,26,N,L,4
1030,08/08/13,11:20,12:13,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,45,37,P,L,4
1031,09/08/13,15:00,16:00,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,15,7,N,L,4
1032,09/08/13,15:00,16:06,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,34,26,P,L,4
1033,09/08/13,15:00,16:06,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,22,14,P,L,4
1034,09/08/13,15:00,16:18,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,33,25,N,L,4
1035,09/08/13,15:00,16:25,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,17,9,N,L,4
1036,09/08/13,15:00,16:28,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,9,1,N,L,4
1037,09/08/13,15:00,16:43,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,34,26,N,L,4
1038,09/08/13,15:00,16:45,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,10,2,N,L,4
1039,09/08/13,15:00,17:06,Calluna_vulgaris,large_syrphid,Eristalis,4,25,17,N,L,4
1040,09/08/13,15:00,17:45,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,12,4,N,L,4
1041,09/08/13,15:00,18:03,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,37,29,N,L,4
1042,12/08/13,09:30,10:25,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,8,13,5,N,L,1
1043,12/08/13,09:30,10:46,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,5,0,N,L,1
1044,12/08/13,09:30,12:03,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,131,123,P,L,1
1045,12/08/13,09:30,12:56,Calluna_vulgaris,Eupeodes,Eupeodes,20,3,0,NA,L,1
1046,12/08/13,09:30,13:32,Calluna_vulgaris,Bombus_lapidarius,Bombus_lapidarius,9,17,9,N,L,1
1047,13/08/13,09:00,09:10,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,13,5,P,L,1
1048,13/08/13,09:00,09:18,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,11,16,8,P,L,1
1049,13/08/13,09:00,09:18,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,2,0,P,L,1
1050,13/08/13,09:00,09:18,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,39,31,P,L,1
1051,13/08/13,09:00,09:40,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,4,32,24,P,L,1
1052,13/08/13,09:00,09:40,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,2,12,4,P,L,1
1053,13/08/13,09:00,11:06,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,14,6,N,L,1
1054,13/08/13,09:00,11:53,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,9,1,N,L,1
1055,14/08/13,08:45,09:15,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,90,82,P,L,1
1056,14/08/13,08:45,09:15,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,36,28,P,L,1
1057,14/08/13,08:45,09:15,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,0,0,P,L,1
1058,14/08/13,08:45,09:15,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,148,140,P,L,1
1059,14/08/13,08:45,10:06,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,18,10,P,L,1
1060,14/08/13,08:45,10:28,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,31,23,P,L,1
1061,14/08/13,08:45,10:28,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,49,41,P,L,4
1062,14/08/13,08:45,10:30,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,27,19,P,L,4
1063,14/08/13,08:45,10:30,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,104,96,P,L,1
1064,14/08/13,08:45,11:00,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,11,3,P,L,1
1065,15/08/13,09:00,09:56,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,2,73,65,P,L,1
1066,15/08/13,09:00,09:56,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,2,52,44,P,L,1
1067,15/08/13,09:00,10:50,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,5,38,30,P,L,1
1068,15/08/13,09:00,10:50,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,6,65,57,P,L,1
1069,15/08/13,09:00,10:50,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,3,3,0,P,L,1
1070,15/08/13,09:00,10:50,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,64,56,P,L,1
1071,15/08/13,09:00,10:50,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,69,61,P,L,1
1072,15/08/13,09:00,10:50,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,98,90,P,L,1
1073,15/08/13,09:00,10:50,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,117,109,P,L,1
1074,15/08/13,09:00,10:50,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,48,40,P,L,1
1075,15/08/13,09:00,10:48,Ulex_minor,Episyrphus,Episyrphus balteatus,20,10,2,P,L,1
1076,15/08/13,09:00,11:50,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,5,13,5,P,L,1
1077,15/08/13,09:00,11:50,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,2,24,16,P,L,1
1078,15/08/13,09:00,11:50,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,2,40,32,P,L,1
1079,15/08/13,09:00,12:28,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,18,10,P,L,1
1080,15/08/13,09:00,12:28,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,41,33,P,L,1
1081,16/08/13,15:50,16:00,Ulex_minor,other_solitary_bees,Andrena,5,150,142,P,L,1
1082,16/08/13,15:50,16:00,Ulex_minor,other_solitary_bees,Andrena,6,63,55,P,L,1
1083,16/08/13,15:50,16:00,Ulex_minor,other_solitary_bees,Andrena,8,10,2,P,L,1
1084,16/08/13,15:50,16:00,Ulex_minor,other_solitary_bees,Andrena,7,106,98,P,L,1
1085,16/08/13,15:50,16:03,Ulex_minor,Episyrphus,Episyrphus balteatus,30,69,61,P,L,1
1086,16/08/13,15:50,16:23,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,6,0,P,L,1
1087,16/08/13,15:50,16:23,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,39,31,P,L,1
1088,16/08/13,15:50,16:23,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,18,10,P,L,1
1089,16/08/13,15:50,16:24,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,4,46,38,P,L,1
1090,16/08/13,15:50,16:24,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,4,207,199,P,L,1
1091,16/08/13,15:50,16:24,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,4,34,26,P,L,1
1092,16/08/13,15:50,16:24,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,4,26,18,P,L,1
1093,16/08/13,15:50,16:38,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,4,99,91,P,L,1
1094,16/08/13,15:50,16:38,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,5,27,19,P,L,1
1095,16/08/13,15:50,16:38,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,4,46,38,P,L,1
1096,16/08/13,15:50,16:38,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,4,26,18,P,L,1
1097,16/08/13,15:50,16:38,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,4,10,2,P,L,1
1098,16/08/13,15:50,16:58,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,4,28,20,P,L,1
1099,16/08/13,15:50,18:25,Ulex_minor,other_solitary_bees,Andrena,10,47,39,P,L,1
1100,16/08/13,15:50,18:50,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,6,3,0,P,L,1
1101,16/08/13,15:50,18:50,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,5,32,24,P,L,1
1102,16/08/13,15:50,18:50,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,3,21,13,P,L,1
1103,16/08/13,15:50,18:50,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,5,16,8,P,L,1
1104,13/08/13,08:45,10:29,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,15,7,N,L,5
1105,13/08/13,08:45,11:14,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,9,1,N,L,5
1106,14/08/13,08:30,09:45,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,20,12,N,L,5
1107,14/08/13,08:30,09:50,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,3,0,N,L,5
1108,14/08/13,08:30,09:58,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,36,28,N,L,5
1109,14/08/13,08:30,10:09,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,8,11,3,N,L,5
1110,14/08/13,08:30,10:44,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,30,22,N,L,5
1111,14/08/13,08:30,10:44,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,23,15,N,L,5
1112,14/08/13,08:30,10:46,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,20,12,N,L,5
1113,14/08/13,08:30,11:29,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,21,13,N,L,5
1114,14/08/13,08:30,11:29,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,8,0,N,L,5
1115,15/08/13,08:45,10:35,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,207,199,P,L,5
1116,15/08/13,08:45,10:35,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,98,90,P,L,5
1117,15/08/13,08:45,10:35,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,94,86,P,L,5
1118,15/08/13,08:45,10:35,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,129,121,P,L,5
1119,15/08/13,08:45,12:04,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,18,10,P,L,5
1120,15/08/13,08:45,12:04,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,123,115,P,L,5
1121,12/08/13,08:44,11:20,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,23,15,N,L,4
1122,12/08/13,08:44,11:28,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,37,29,N,L,4
1123,13/08/13,09:00,11:45,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,22,14,N,L,4
1124,13/08/13,09:00,11:54,Calluna_vulgaris,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,33,25,P,L,4
1125,15/08/13,08:55,10:39,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,65,57,P,L,4
1126,15/08/13,08:55,10:39,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,64,56,P,L,4
1127,15/08/13,08:55,12:10,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,41,33,P,L,4
1128,15/08/13,08:55,12:10,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,37,29,P,L,4
1129,15/08/13,08:55,12:23,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,23,15,P,L,4
1130,15/08/13,08:55,12:40,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,4,37,29,P,L,4
1131,25/08/13,09:00,09:55,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,196,188,P,L,1
1132,25/08/13,09:00,09:55,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,87,79,P,L,1
1133,25/08/13,09:00,09:55,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,97,89,P,L,1
1134,25/08/13,09:00,09:55,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,75,67,P,L,1
1135,25/08/13,09:00,09:55,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,21,13,P,L,1
1136,25/08/13,09:00,09:55,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,114,106,P,L,1
1137,25/08/13,09:00,09:55,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,48,40,P,L,1
1138,25/08/13,09:00,11:05,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,58,50,P,L,1
1139,25/08/13,09:00,11:05,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,90,82,P,L,1
1140,25/08/13,09:00,11:05,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,47,39,P,L,1
1141,25/08/13,09:00,11:05,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,139,131,P,L,1
1142,25/08/13,09:00,11:05,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,84,76,P,L,1
1143,25/08/13,09:00,12:03,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,87,79,P,L,1
1144,25/08/13,09:00,12:03,Ulex_minor,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,12,4,P,L,1
1145,25/08/13,09:00,12:32,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,4,54,46,P,L,1
1146,25/08/13,09:00,12:32,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,2,89,81,P,L,1
1147,25/08/13,09:00,12:32,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,2,118,110,P,L,1
1148,25/08/13,09:00,12:32,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,2,204,196,P,L,1
1149,25/08/13,09:00,12:32,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,2,79,71,P,L,1
1150,25/08/13,09:00,12:57,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,2,52,44,P,L,1
1151,25/08/13,09:00,12:57,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,2,29,21,P,L,1
1152,27/08/13,09:00,09:49,Calluna_vulgaris,muscid,mucid – med black,10,8,0,N,L,1
1153,27/08/13,09:00,10:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,24,3,0,N,L,1
1154,27/08/13,09:00,10:24,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,8,0,0,N,L,1
1155,27/08/13,09:00,10:27,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,1,0,N,L,1
1156,27/08/13,09:00,10:40,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,1,0,N,L,1
1157,27/08/13,09:00,10:41,Calluna_vulgaris,muscid,muscid – med grey,22,12,4,N,L,1
1158,27/08/13,09:00,11:22,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,7,8,0,P,L,1
1159,28/08/13,09:15,10:01,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,5,90,82,P,L,1
1160,28/08/13,09:15,10:01,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,8,97,89,P,L,1
1161,16/08/13,15:45,17:01,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,12,4,N,L,5
1162,16/08/13,15:45,17:16,Calluna_vulgaris,small_syrphid,Meliscaeva,3,55,47,N,L,5
1163,16/08/13,15:45,17:51,Calluna_vulgaris,large_syrphid,Eristalis,8,15,7,N,L,5
1164,16/08/13,15:45,18:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,77,69,N,L,5
1165,16/08/13,15:45,18:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,39,31,N,L,5
1166,16/08/13,15:45,18:22,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,5,33,25,N,L,5
1167,16/08/13,15:45,18:22,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,10,2,N,L,5
1168,16/08/13,15:45,18:22,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,18,10,N,L,5
1169,16/08/13,15:45,18:29,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,15,7,N,L,5
1170,17/08/13,08:30,10:32,Ulex_minor,Episyrphus,Episyrphus balteatus,4,0,0,P,L,5
1171,17/08/13,08:30,10:35,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,51,43,P,L,5
1172,19/08/13,09:00,09:05,Ulex_minor,large_syrphid,Eristalis,3,11,3,P,L,5
1173,19/08/13,09:00,09:30,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,280,272,P,L,5
1174,19/08/13,09:00,09:30,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,12,4,P,L,5
1175,19/08/13,09:00,09:35,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,14,6,P,L,5
1176,19/08/13,09:00,09:35,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,2,3,0,P,L,5
1177,19/08/13,09:00,10:08,Ulex_minor,Bombus_lapidarius,Bombus_lapidarius,3,103,95,P,L,5
1178,19/08/13,09:00,10:16,Ulex_minor,Bombus_pascuorum,Bombus_pascuorum,4,23,15,P,L,5
1179,19/08/13,13:30,13:52,Calluna_vulgaris,muscid,muscid (gold abdomen),4,46,38,N,L,5
1180,19/08/13,13:30,13:54,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,6,42,34,N,L,5
1181,19/08/13,13:30,14:15,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,46,38,P,L,5
1182,19/08/13,13:30,14:25,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,23,15,P,L,5
1183,19/08/13,13:30,14:25,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,3,32,24,P,L,5
1184,19/08/13,13:30,14:25,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,4,27,19,P,L,5
1185,19/08/13,13:30,14:25,Calluna_vulgaris,Apis_mellifera,Apis_mellifera,2,18,10,P,L,5
